Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type
1,393,1/1/23 00:00,3472,Purchase
3,916,1/1/23 02:00,10,Purchase
4,109,1/1/23 03:00,72,Investment
5,889,1/1/23 04:00,1793,Investment
6,348,1/1/23 05:00,3824,Loan Payment
7,50,1/1/23 06:00,235,Loan Payment
8,916,1/1/23 07:00,1052,Loan Payment
9,105,1/1/23 08:00,854,Purchase
10,420,1/1/23 09:00,2690,Investment
11,373,1/1/23 10:00,4129,Investment
12,27,1/1/23 11:00,1244,Investment
13,968,1/1/23 12:00,1994,Bill Payment
14,800,1/1/23 13:00,4266,Purchase
15,769,1/1/23 14:00,1288,Purchase
16,273,1/1/23 15:00,1604,Loan Payment
17,649,1/1/23 16:00,2561,Bill Payment
18,340,1/1/23 17:00,1962,Bill Payment
19,301,1/1/23 18:00,1705,Investment
20,480,1/1/23 19:00,964,Loan Payment
21,834,1/1/23 20:00,3301,Purchase
22,544,1/1/23 21:00,366,Bill Payment
23,557,1/1/23 22:00,3605,Investment
24,265,1/1/23 23:00,978,Purchase
25,542,1/2/23 00:00,251,Investment
26,596,1/2/23 01:00,3456,Purchase
27,166,1/2/23 02:00,4244,Investment
28,316,1/2/23 03:00,2154,Purchase
29,1,1/2/23 04:00,156,Loan Payment
30,761,1/2/23 05:00,552,Purchase
31,261,1/2/23 06:00,701,Purchase
33,483,1/2/23 08:00,4060,Investment
34,676,1/2/23 09:00,4015,Bill Payment
35,321,1/2/23 10:00,3369,Purchase
36,846,1/2/23 11:00,2961,Purchase
37,201,1/2/23 12:00,739,Loan Payment
38,222,1/2/23 13:00,4509,Purchase
39,152,1/2/23 14:00,2565,Loan Payment
40,644,1/2/23 15:00,1160,Purchase
41,626,1/2/23 16:00,1745,Investment
42,462,1/2/23 17:00,1048,Bill Payment
43,217,1/2/23 18:00,2922,Bill Payment
44,196,1/2/23 19:00,4850,Bill Payment
45,793,1/2/23 20:00,2550,Investment
46,202,1/2/23 21:00,4424,Loan Payment
47,995,1/2/23 22:00,1252,Bill Payment
48,647,1/2/23 23:00,782,Investment
49,234,1/3/23 00:00,1926,Investment
50,141,1/3/23 01:00,3422,Purchase
51,708,1/3/23 02:00,2509,Loan Payment
52,498,1/3/23 03:00,3450,Investment
53,555,1/3/23 04:00,3555,Loan Payment
54,57,1/3/23 05:00,1223,Bill Payment
55,932,1/3/23 06:00,2941,Bill Payment
56,504,1/3/23 07:00,428,Bill Payment
57,142,1/3/23 08:00,3791,Purchase
58,722,1/3/23 09:00,4970,Purchase
59,584,1/3/23 10:00,798,Loan Payment
60,736,1/3/23 11:00,1881,Loan Payment
61,539,1/3/23 12:00,4600,Purchase
62,640,1/3/23 13:00,2035,Investment
63,106,1/3/23 14:00,2456,Loan Payment
64,165,1/3/23 15:00,4833,Loan Payment
65,215,1/3/23 16:00,570,Bill Payment
66,71,1/3/23 17:00,2661,Loan Payment
67,716,1/3/23 18:00,3914,Loan Payment
68,665,1/3/23 19:00,549,Investment
69,579,1/3/23 20:00,4765,Loan Payment
70,90,1/3/23 21:00,3146,Investment
71,772,1/3/23 22:00,3299,Bill Payment
72,874,1/3/23 23:00,2620,Purchase
73,228,1/4/23 00:00,4922,Bill Payment
74,79,1/4/23 01:00,1954,Investment
75,608,1/4/23 02:00,3155,Investment
76,349,1/4/23 03:00,2768,Loan Payment
77,842,1/4/23 04:00,3270,Loan Payment
78,981,1/4/23 05:00,4117,Purchase
79,894,1/4/23 06:00,1905,Investment
80,246,1/4/23 07:00,2510,Investment
81,272,1/4/23 08:00,2839,Bill Payment
82,403,1/4/23 09:00,3883,Purchase
83,669,1/4/23 10:00,57,Bill Payment
84,116,1/4/23 11:00,2374,Loan Payment
85,435,1/4/23 12:00,2266,Loan Payment
86,530,1/4/23 13:00,4682,Bill Payment
87,442,1/4/23 14:00,763,Loan Payment
88,172,1/4/23 15:00,2812,Bill Payment
89,16,1/4/23 16:00,4659,Investment
90,961,1/4/23 17:00,3662,Investment
91,752,1/4/23 18:00,412,Loan Payment
92,898,1/4/23 19:00,2096,Purchase
93,56,1/4/23 20:00,2237,Investment
94,591,1/4/23 21:00,3420,Loan Payment
95,103,1/4/23 22:00,3000,Purchase
96,284,1/4/23 23:00,4653,Loan Payment
97,705,1/5/23 00:00,1159,Bill Payment
98,517,1/5/23 01:00,72,Loan Payment
99,618,1/5/23 02:00,4949,Bill Payment
100,278,1/5/23 03:00,3163,Investment
101,885,1/5/23 04:00,1018,Investment
102,612,1/5/23 05:00,2041,Loan Payment
103,750,1/5/23 06:00,1332,Purchase
104,269,1/5/23 07:00,2091,Loan Payment
105,833,1/5/23 08:00,761,Loan Payment
106,400,1/5/23 09:00,4154,Investment
107,503,1/5/23 10:00,667,Investment
108,86,1/5/23 11:00,1670,Loan Payment
109,320,1/5/23 12:00,710,Investment
110,32,1/5/23 13:00,1090,Bill Payment
111,336,1/5/23 14:00,2166,Loan Payment
112,51,1/5/23 15:00,1550,Investment
113,79,1/5/23 16:00,3042,Loan Payment
114,698,1/5/23 17:00,1993,Investment
115,174,1/5/23 18:00,324,Bill Payment
116,948,1/5/23 19:00,3091,Bill Payment
117,618,1/5/23 20:00,4743,Loan Payment
118,501,1/5/23 21:00,2324,Bill Payment
119,575,1/5/23 22:00,2145,Bill Payment
120,76,1/5/23 23:00,1659,Investment
121,316,1/6/23 00:00,3229,Loan Payment
122,833,1/6/23 01:00,3810,Investment
123,373,1/6/23 02:00,2488,Investment
124,81,1/6/23 03:00,4077,Purchase
125,873,1/6/23 04:00,1785,Bill Payment
126,640,1/6/23 05:00,1976,Investment
127,695,1/6/23 06:00,1777,Investment
128,755,1/6/23 07:00,3825,Investment
129,697,1/6/23 08:00,251,Bill Payment
130,732,1/6/23 09:00,4807,Bill Payment
131,71,1/6/23 10:00,2959,Bill Payment
132,969,1/6/23 11:00,4846,Loan Payment
133,854,1/6/23 12:00,4886,Investment
134,666,1/6/23 13:00,2266,Bill Payment
135,757,1/6/23 14:00,4121,Investment
136,652,1/6/23 15:00,3378,Loan Payment
