Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type_Bill_Payment,Transaction_Type_Investment,Transaction_Type_Loan_Payment,Transaction_Type_Purchase,,,,,
1,393,1/1/23 00:00,3472,0,0,0,1,,,,,
3,916,1/1/23 02:00,10,0,0,0,1,,,,,
4,109,1/1/23 03:00,72,0,1,0,0,,,,,
5,889,1/1/23 04:00,1793,0,1,0,0,,,,,
6,348,1/1/23 05:00,3824,0,0,1,0,,,,,
7,50,1/1/23 06:00,235,0,0,1,0,,,,,
8,916,1/1/23 07:00,1052,0,0,1,0,,,,,
9,105,1/1/23 08:00,854,0,0,0,1,,,,,
10,420,1/1/23 09:00,2690,0,1,0,0,,,,,
11,373,1/1/23 10:00,4129,0,1,0,0,,,,,
12,27,1/1/23 11:00,1244,0,1,0,0,,,,,
13,968,1/1/23 12:00,1994,1,0,0,0,,,,,
14,800,1/1/23 13:00,4266,0,0,0,1,,,,,
15,769,1/1/23 14:00,1288,0,0,0,1,,,,,
16,273,1/1/23 15:00,1604,0,0,1,0,,,,,
17,649,1/1/23 16:00,2561,1,0,0,0,,,,,
18,340,1/1/23 17:00,1962,1,0,0,0,,,,,
19,301,1/1/23 18:00,1705,0,1,0,0,,,,,
20,480,1/1/23 19:00,964,0,0,1,0,,,,,
21,834,1/1/23 20:00,3301,0,0,0,1,,,,,
22,544,1/1/23 21:00,366,1,0,0,0,,,,,
23,557,1/1/23 22:00,3605,0,1,0,0,,,,,
24,265,1/1/23 23:00,978,0,0,0,1,,,,,
25,542,1/2/23 00:00,251,0,1,0,0,,,,,
26,596,1/2/23 01:00,3456,0,0,0,1,,,,,
27,166,1/2/23 02:00,4244,0,1,0,0,,,,,
28,316,1/2/23 03:00,2154,0,0,0,1,,,,,
29,1,1/2/23 04:00,156,0,0,1,0,,,,,
30,761,1/2/23 05:00,552,0,0,0,1,,,,,
31,261,1/2/23 06:00,701,0,0,0,1,,,,,
33,483,1/2/23 08:00,4060,0,1,0,0,,,,,
34,676,1/2/23 09:00,4015,1,0,0,0,,,,,
35,321,1/2/23 10:00,3369,0,0,0,1,,,,,
36,846,1/2/23 11:00,2961,0,0,0,1,,,,,
37,201,1/2/23 12:00,739,0,0,1,0,,,,,
38,222,1/2/23 13:00,4509,0,0,0,1,,,,,
39,152,1/2/23 14:00,2565,0,0,1,0,,,,,
40,644,1/2/23 15:00,1160,0,0,0,1,,,,,
41,626,1/2/23 16:00,1745,0,1,0,0,,,,,
42,462,1/2/23 17:00,1048,1,0,0,0,,,,,
43,217,1/2/23 18:00,2922,1,0,0,0,,,,,
44,196,1/2/23 19:00,4850,1,0,0,0,,,,,
45,793,1/2/23 20:00,2550,0,1,0,0,,,,,
46,202,1/2/23 21:00,4424,0,0,1,0,,,,,
47,995,1/2/23 22:00,1252,1,0,0,0,,,,,
48,647,1/2/23 23:00,782,0,1,0,0,,,,,
49,234,1/3/23 00:00,1926,0,1,0,0,,,,,
50,141,1/3/23 01:00,3422,0,0,0,1,,,,,
51,708,1/3/23 02:00,2509,0,0,1,0,,,,,
52,498,1/3/23 03:00,3450,0,1,0,0,,,,,
53,555,1/3/23 04:00,3555,0,0,1,0,,,,,
54,57,1/3/23 05:00,1223,1,0,0,0,,,,,
55,932,1/3/23 06:00,2941,1,0,0,0,,,,,
56,504,1/3/23 07:00,428,1,0,0,0,,,,,
57,142,1/3/23 08:00,3791,0,0,0,1,,,,,
58,722,1/3/23 09:00,4970,0,0,0,1,,,,,
59,584,1/3/23 10:00,798,0,0,1,0,,,,,
60,736,1/3/23 11:00,1881,0,0,1,0,,,,,
61,539,1/3/23 12:00,4600,0,0,0,1,,,,,
62,640,1/3/23 13:00,2035,0,1,0,0,,,,,
63,106,1/3/23 14:00,2456,0,0,1,0,,,,,
64,165,1/3/23 15:00,4833,0,0,1,0,,,,,
65,215,1/3/23 16:00,570,1,0,0,0,,,,,
66,71,1/3/23 17:00,2661,0,0,1,0,,,,,
67,716,1/3/23 18:00,3914,0,0,1,0,,,,,
68,665,1/3/23 19:00,549,0,1,0,0,,,,,
69,579,1/3/23 20:00,4765,0,0,1,0,,,,,
70,90,1/3/23 21:00,3146,0,1,0,0,,,,,
71,772,1/3/23 22:00,3299,1,0,0,0,,,,,
72,874,1/3/23 23:00,2620,0,0,0,1,,,,,
73,228,1/4/23 00:00,4922,1,0,0,0,,,,,
74,79,1/4/23 01:00,1954,0,1,0,0,,,,,
75,608,1/4/23 02:00,3155,0,1,0,0,,,,,
76,349,1/4/23 03:00,2768,0,0,1,0,,,,,
77,842,1/4/23 04:00,3270,0,0,1,0,,,,,
78,981,1/4/23 05:00,4117,0,0,0,1,,,,,
79,894,1/4/23 06:00,1905,0,1,0,0,,,,,
80,246,1/4/23 07:00,2510,0,1,0,0,,,,,
81,272,1/4/23 08:00,2839,1,0,0,0,,,,,
82,403,1/4/23 09:00,3883,0,0,0,1,,,,,
83,669,1/4/23 10:00,57,1,0,0,0,,,,,
84,116,1/4/23 11:00,2374,0,0,1,0,,,,,
85,435,1/4/23 12:00,2266,0,0,1,0,,,,,
86,530,1/4/23 13:00,4682,1,0,0,0,,,,,
87,442,1/4/23 14:00,763,0,0,1,0,,,,,
88,172,1/4/23 15:00,2812,1,0,0,0,,,,,
89,16,1/4/23 16:00,4659,0,1,0,0,,,,,
90,961,1/4/23 17:00,3662,0,1,0,0,,,,,
91,752,1/4/23 18:00,412,0,0,1,0,,,,,
92,898,1/4/23 19:00,2096,0,0,0,1,,,,,
93,56,1/4/23 20:00,2237,0,1,0,0,,,,,
94,591,1/4/23 21:00,3420,0,0,1,0,,,,,
95,103,1/4/23 22:00,3000,0,0,0,1,,,,,
96,284,1/4/23 23:00,4653,0,0,1,0,,,,,
97,705,1/5/23 00:00,1159,1,0,0,0,,,,,
98,517,1/5/23 01:00,72,0,0,1,0,,,,,
99,618,1/5/23 02:00,4949,1,0,0,0,,,,,
100,278,1/5/23 03:00,3163,0,1,0,0,,,,,
101,885,1/5/23 04:00,1018,0,1,0,0,,,,,
102,612,1/5/23 05:00,2041,0,0,1,0,,,,,
103,750,1/5/23 06:00,1332,0,0,0,1,,,,,
104,269,1/5/23 07:00,2091,0,0,1,0,,,,,
105,833,1/5/23 08:00,761,0,0,1,0,,,,,
106,400,1/5/23 09:00,4154,0,1,0,0,,,,,
107,503,1/5/23 10:00,667,0,1,0,0,,,,,
108,86,1/5/23 11:00,1670,0,0,1,0,,,,,
109,320,1/5/23 12:00,710,0,1,0,0,,,,,
110,32,1/5/23 13:00,1090,1,0,0,0,,,,,
111,336,1/5/23 14:00,2166,0,0,1,0,,,,,
112,51,1/5/23 15:00,1550,0,1,0,0,,,,,
113,79,1/5/23 16:00,3042,0,0,1,0,,,,,
114,698,1/5/23 17:00,1993,0,1,0,0,,,,,
115,174,1/5/23 18:00,324,1,0,0,0,,,,,
116,948,1/5/23 19:00,3091,1,0,0,0,,,,,
117,618,1/5/23 20:00,4743,0,0,1,0,,,,,
118,501,1/5/23 21:00,2324,1,0,0,0,,,,,
119,575,1/5/23 22:00,2145,1,0,0,0,,,,,
120,76,1/5/23 23:00,1659,0,1,0,0,,,,,
121,316,1/6/23 00:00,3229,0,0,1,0,,,,,
122,833,1/6/23 01:00,3810,0,1,0,0,,,,,
