Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type,target_income_group,Transaction_ID_Z-Score,Transaction_Amount_Z-Score,Transaction_Type_Bill Payment,Transaction_Type_Investment,Transaction_Type_Loan Payment,Transaction_Type_Purchase
1,393,2023-01-01 00:00:00,3472.0,Purchase,High,-1.7311979626746228,0.6861048196432665,0.0,0.0,0.0,1.0
3,916,2023-01-01 02:00:00,10.0,Purchase,Low,-1.7298128997798987,-1.7221035469493466,0.0,0.0,0.0,1.0
4,109,2023-01-01 03:00:00,72.0,Investment,Low,-1.7291203683325365,-1.6789756097082311,0.0,1.0,0.0,0.0
5,889,2023-01-01 04:00:00,1793.0,Investment,Medium,-1.7284278368851744,-0.48182754532178185,0.0,1.0,0.0,0.0
6,348,2023-01-01 05:00:00,3824.0,Loan Payment,High,-1.7277353054378124,0.930960205270245,0.0,0.0,1.0,0.0
7,50,2023-01-01 06:00:00,235.0,Loan Payment,Low,-1.7270427739904504,-1.5655908714775564,0.0,0.0,1.0,0.0
8,916,2023-01-01 07:00:00,1052.0,Loan Payment,Medium,-1.7263502425430883,-0.9972759565422111,0.0,0.0,1.0,0.0
9,105,2023-01-01 08:00:00,854.0,Purchase,Low,-1.7256577110957263,-1.1350071109573865,0.0,0.0,0.0,1.0
10,420,2023-01-01 09:00:00,2690.0,Investment,Medium,-1.724965179648364,0.14213632089242206,0.0,1.0,0.0,0.0
11,373,2023-01-01 10:00:00,4129.0,Investment,High,-1.724272648201002,1.143121832020894,0.0,1.0,0.0,0.0
12,27,2023-01-01 11:00:00,1244.0,Investment,Medium,-1.72358011675364,-0.8637184734729502,0.0,1.0,0.0,0.0
13,968,2023-01-01 12:00:00,1994.0,Bill Payment,Medium,-1.722887585306278,-0.3420095552336492,1.0,0.0,0.0,0.0
14,800,2023-01-01 13:00:00,4266.0,Purchase,High,-1.722195053858916,1.2384206610859396,0.0,0.0,0.0,1.0
15,769,2023-01-01 14:00:00,1288.0,Purchase,Medium,-1.7215025224115539,-0.8331115502695778,0.0,0.0,0.0,1.0
16,273,2023-01-01 15:00:00,1604.0,Loan Payment,Medium,-1.7208099909641916,-0.6132981927180857,0.0,0.0,1.0,0.0
17,649,2023-01-01 16:00:00,2561.0,Bill Payment,Medium,-1.7201174595168296,0.052402386955262295,1.0,0.0,0.0,0.0
18,340,2023-01-01 17:00:00,1962.0,Bill Payment,Medium,-1.7194249280694676,-0.3642691357451927,1.0,0.0,0.0,0.0
19,301,2023-01-01 18:00:00,1705.0,Investment,Medium,-1.7187323966221055,-0.5430413917285265,0.0,1.0,0.0,0.0
20,480,2023-01-01 19:00:00,964.0,Loan Payment,Low,-1.7180398651747435,-1.0584898029489558,0.0,0.0,1.0,0.0
21,834,2023-01-01 20:00:00,3301.0,Purchase,High,-1.7173473337273815,0.5671551862847058,0.0,0.0,0.0,1.0
22,544,2023-01-01 21:00:00,366.0,Bill Payment,Low,-1.7166548022800192,-1.4744657137584252,1.0,0.0,0.0,0.0
23,557,2023-01-01 22:00:00,3605.0,Investment,High,-1.7159622708326572,0.7786212011443692,0.0,1.0,0.0,0.0
24,265,2023-01-01 23:00:00,978.0,Purchase,Low,-1.7152697393852951,-1.0487512364751554,0.0,0.0,0.0,1.0
25,542,2023-01-02 00:00:00,251.0,Investment,Low,-1.7145772079379331,-1.5544610812217845,0.0,1.0,0.0,0.0
26,596,2023-01-02 01:00:00,3456.0,Purchase,High,-1.713884676490571,0.6749750293874948,0.0,0.0,0.0,1.0
27,166,2023-01-02 02:00:00,4244.0,Investment,High,-1.7131921450432088,1.2231171994842536,0.0,1.0,0.0,0.0
28,316,2023-01-02 03:00:00,2154.0,Purchase,Medium,-1.7124996135958468,-0.23071165267593166,0.0,0.0,0.0,1.0
29,1,2023-01-02 04:00:00,156.0,Loan Payment,Low,-1.7118070821484848,-1.6205442108654293,0.0,0.0,1.0,0.0
